,diff_property_tax_rate,diff_median_age_homebuyers,diff_housing_starts,diff_work_home_rate,mortgage_to_income_rate,diff_mortgage_rate,diff_interest_rate,inflation_rate,diff_rental_price
0,-0.224225668,0.06809924,35.54508869,-0.5,4.19,1.4,0.77,293,5.49E-05
1,-0.012556159,0.067213371,-51.45465817,-0.5,4.49,0.1,1.72,294,0.062891254
2,-0.018206524,0.039915522,-57.73045873,-0.5,4.79,0.1,2.22,295,-0.01515873
3,-0.018332651,0.03980588,-23.45700693,-0.5,5.09,0.1,2.72,296,-0.020208591
4,-0.018579321,0.039682214,67.46000383,-0.5,5.39,0.1,3.22,297,0.002501337
5,-0.018847246,0.174246826,95.28837642,0,5.69,0.1,3.72,298,-0.129293081
6,-0.019775912,0.03937653,29.6649449,0,5.99,0.1,4.22,299,0.001519676
7,-0.020042186,0.039212257,-21.3446026,0,6.29,0.1,5.72,300,-0.009874691
8,-0.020366179,0.039915753,-77.83104099,0,7.59,0.1,6.22,301,-0.039066262
9,-0.020692408,0.040561865,-38.77334431,0,7.89,0.1,6.72,302,0.033057167
10,-0.021021602,0.04115302,5.940099089,0,8.19,0.1,7.22,303,0.035989363
11,-0.021758733,0.028535046,59.38496958,0,8.49,0.1,7.72,304,0.048078425
12,-0.250864664,0.029413564,83.04188351,0,8.79,0.1,8.22,305,0.06781128
13,-0.0225024,0.030231714,44.83365153,0,0,0,8.22,304,-0.003560882
14,-0.029896904,0.028234959,-18.45663914,0,0,0,8.22,303,0.009271195
15,-0.030221833,0.029085779,-74.89065389,0,0,0,8.22,302,0.02082889
16,-0.030725036,0.029909808,-33.21318157,0,0,0,8.22,301,-0.062381979
17,-0.031226905,0.045054822,25.83445492,0,0,0,8.22,300,-0.065172335
18,-0.032537485,0.03169762,51.72134559,0,0,0,8.22,299,-0.006040809
19,-0.033045968,0.032540609,17.77361344,0,0,0,8.22,298,-0.028039647
20,-0.033638788,0.033576566,-1.974155632,0,0,0,8.22,297,-0.017292028
21,-0.034237946,0.034567924,26.59097213,0,0,0,8.22,296,0.028974828
22,-0.034847767,0.035516183,4.276467062,0,0,0,8.22,295,0.033818088
23,-0.035605924,0.034265393,-22.59383102,0,0,0,8.22,294,0.079481653
24,-0.28944456,0.03511594,-56.151038,0,0,0,8.22,293,0.0084484
25,-0.036892458,0.035936612,0.731936943,0,0,0,8.22,292,0.014908915
26,-0.046504624,0.046559138,60.60306725,0,0,0,8.22,291,0.037188846
27,-0.047093391,0.047041043,73.46203191,0,0,0,8.22,290,-0.036782284
28,-0.047937772,0.047503946,23.81441334,0,0,0,8.22,289,-0.048770895
29,-0.048792213,-0.000864278,-35.21009751,0,0,0,8.22,288,-0.021794311
