year,median_house_value,median_tax_paid,property_tax_rate
2022,,,1.1
2021,,,0.9
2020,229800,2551,1.110095735
2019,217500,2471,1.136091954
2018,204900,2375,1.159102001
2017,193500,2279,1.177777778
2016,184700,2197,1.189496481
2015,178600,2149,1.20324748
2014,175700,2127,1.210586227
2013,176700,2107,1.192416525
2012,181400,2090,1.152149945
2011,186200,2041,1.09613319
2010,188400,1981,1.0514862
2009,185200,1917,1.035097192
2008,197600,1897,0.960020243
2007,194300,1838,0.945959856
2006,185200,1742,0.940604752
2005,167500,1614,0.96358209
2004,151366,1485,0.981065761
